Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0182	0	       0	0	       0	
0,25	 0,00547	0,25	   165,3	0,25	       0	
0,5	  0,0137	0,5	  -97,14	0,5	     0,5	
0,75	  0,0103	0,75	  -103,3	0,75	     0,8	
1	  0,0116	1	  -115,3	1	     0,9	
1,25	  0,0323	1,25	    -148	1,25	     0,9	
1,5	  0,0545	1,5	   48,03	1,5	     0,9	
1,75	  0,0118	1,75	   41,58	1,75	     0,9	
2	 0,00788	2	   51,96	2	     0,9	
2,25	 0,00631	2,25	   64,04	2,25	     0,9	
2,5	 0,00899	2,5	   83,01	2,5	       1	
2,75	  0,0164	2,75	   83,38	2,75	       1	
3	  0,0277	3	   50,32	3	       1	
3,25	    0,03	3,25	-0,0006762	3,25	       1	
3,5	  0,0173	3,5	  -26,99	3,5	       1	
3,75	  0,0148	3,75	  -10,57	3,75	       1	
4	  0,0163	4	  -18,97	4	       1	
4,25	  0,0207	4,25	  -24,59	4,25	       1	
4,5	  0,0246	4,5	  -57,05	4,5	       1	
4,75	  0,0211	4,75	  -95,92	4,75	     0,9	
5	 0,00813	5	  -155,8	5	     0,6	
5,25	 0,00631	5,25	  -59,17	5,25	     0,7	
5,5	 0,00739	5,5	  -55,46	5,5	     0,8	
5,75	 0,00783	5,75	  -101,4	5,75	     0,9	
6	 0,00178	6	  -64,06	6	     0,1	
6,25	 0,00542	6,25	  -14,93	6,25	     0,6	
6,5	 0,00784	6,5	   -17,2	6,5	     0,7	
6,75	  0,0141	6,75	  -40,19	6,75	     0,9	
7	  0,0136	7	  -65,04	7	     0,9	
7,25	  0,0123	7,25	   -74,4	7,25	       1	
7,5	   0,013	7,5	  -82,28	7,5	       1	
7,75	  0,0125	7,75	  -87,13	7,75	       1	
8	  0,0131	8	  -92,74	8	       1	
8,25	   0,014	8,25	  -99,04	8,25	       1	
