Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0389	0	       0	0	     0,1	
0,25	 0,00919	0,25	  -162,8	0,25	     0,1	
0,5	  0,0133	0,5	   63,88	0,5	     0,1	
0,75	 0,00652	0,75	  -102,1	0,75	     0,3	
1	 0,00451	1	  -94,33	1	     0,5	
1,25	 0,00627	1,25	  -84,28	1,25	     0,9	
1,5	  0,0116	1,5	  -79,79	1,5	     0,9	
1,75	  0,0307	1,75	    -105	1,75	     0,9	
2	  0,0111	2	   130,4	2	     0,9	
2,25	 0,00342	2,25	   159,9	2,25	     0,8	
2,5	 0,00222	2,5	  -135,7	2,5	     0,7	
2,75	 0,00359	2,75	  -88,98	2,75	     0,9	
3	 0,00671	3	  -78,52	3	     0,9	
3,25	  0,0125	3,25	  -82,46	3,25	       1	
3,5	  0,0215	3,5	  -102,2	3,5	       1	
3,75	  0,0285	3,75	  -141,2	3,75	       1	
4	  0,0158	4	  -178,4	4	       1	
4,25	  0,0105	4,25	  -166,9	4,25	       1	
4,5	 0,00975	4,5	  -150,2	4,5	       1	
4,75	  0,0122	4,75	  -151,8	4,75	       1	
5	  0,0103	5	  -148,2	5	       1	
5,25	  0,0135	5,25	    -140	5,25	       1	
5,5	  0,0146	5,5	  -149,5	5,5	       1	
5,75	  0,0156	5,75	  -152,5	5,75	       1	
6	  0,0165	6	  -156,6	6	       1	
6,25	  0,0169	6,25	  -162,6	6,25	       1	
6,5	  0,0174	6,5	  -168,5	6,5	       1	
6,75	   0,017	6,75	  -175,4	6,75	       1	
7	  0,0159	7	  -178,3	7	       1	
7,25	  0,0153	7,25	  -179,9	7,25	       1	
7,5	  0,0153	7,5	  -178,1	7,5	       1	
7,75	  0,0162	7,75	  -179,5	7,75	       1	
8	  0,0175	8	   178,3	8	       1	
8,25	  0,0192	8,25	   171,1	8,25	       1	
8,5	  0,0198	8,5	   160,4	8,5	       1	
8,75	  0,0183	8,75	   151,9	8,75	       1	
9	   0,017	9	   147,2	9	       1	
9,25	  0,0165	9,25	   143,3	9,25	       1	
9,5	  0,0169	9,5	   139,6	9,5	       1	
9,75	  0,0172	9,75	   130,4	9,75	       1	
10	  0,0157	10	   121,2	10	       1	
10,25	  0,0146	10,25	   119,8	10,25	       1	
10,5	   0,016	10,5	   117,6	10,5	       1	
10,75	  0,0178	10,75	   110,5	10,75	       1	
11	  0,0198	11	   94,92	11	       1	
11,25	  0,0202	11,25	   78,75	11,25	       1	
11,5	  0,0197	11,5	   63,55	11,5	       1	
11,75	  0,0195	11,75	   49,75	11,75	       1	
12	  0,0188	12	    35,4	12	       1	
