Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,278	0	     180	0	     0,4	
0,25	   0,238	0,25	  -45,48	0,25	     0,1	
0,5	    0,53	0,5	  -153,5	0,5	     0,6	
0,75	   0,165	0,75	    34,1	0,75	       0	
1	   0,453	1	   33,02	1	     0,3	
1,25	   0,229	1,25	  -115,9	1,25	     0,2	
1,5	   0,392	1,5	  -156,7	1,5	     0,5	
1,75	   0,244	1,75	    63,4	1,75	     0,2	
2	   0,172	2	   15,38	2	     0,1	
2,25	  0,0689	2,25	  -153,1	2,25	     0,1	
2,5	   0,123	2,5	   149,3	2,5	     0,2	
2,75	   0,158	2,75	   82,25	2,75	     0,6	
3	   0,152	3	   22,03	3	     0,3	
3,25	  0,0745	3,25	  -1,594	3,25	     0,3	
3,5	  0,0384	3,5	   131,9	3,5	     0,1	
3,75	  0,0431	3,75	   80,45	3,75	     0,2	
4	   0,126	4	    49,3	4	     0,6	
4,25	    0,12	4,25	    4,58	4,25	     0,6	
4,5	   0,108	4,5	     -47	4,5	     0,5	
4,75	  0,0714	4,75	  -108,7	4,75	     0,3	
5	  0,0212	5	   97,64	5	       0	
5,25	  0,0655	5,25	   19,21	5,25	     0,1	
5,5	  0,0961	5,5	     -45	5,5	     0,5	
5,75	   0,131	5,75	  -110,3	5,75	     0,6	
6	  0,0677	6	    -178	6	     0,2	
6,25	  0,0268	6,25	   74,75	6,25	       0	
6,5	  0,0377	6,5	  -104,7	6,5	     0,1	
6,75	   0,083	6,75	  -126,5	6,75	     0,4	
7	  0,0954	7	   164,2	7	     0,6	
7,25	  0,0915	7,25	   99,65	7,25	     0,4	
7,5	  0,0306	7,5	   62,78	7,5	     0,2	
7,75	  0,0171	7,75	  -122,9	7,75	     0,1	
8	  0,0383	8	   162,6	8	     0,3	
8,25	  0,0699	8,25	     109	8,25	     0,5	
8,5	  0,0453	8,5	   64,82	8,5	     0,4	
8,75	 0,00993	8,75	   14,42	8,75	       0	
9	   0,005	9	   111,7	9	       0	
9,25	   0,042	9,25	   108,3	9,25	     0,3	
9,5	  0,0492	9,5	   40,26	9,5	     0,6	
9,75	  0,0784	9,75	  -26,14	9,75	     0,8	
10	  0,0647	10	  -64,22	10	     0,5	
10,25	  0,0596	10,25	  -132,9	10,25	     0,5	
10,5	  0,0388	10,5	   177,4	10,5	     0,3	
10,75	  0,0078	10,75	  -123,4	10,75	       0	
11	  0,0183	11	  -69,17	11	     0,2	
11,25	  0,0395	11,25	  -139,4	11,25	     0,5	
11,5	  0,0429	11,5	   167,9	11,5	     0,4	
11,75	    0,02	11,75	   61,43	11,75	     0,1	
12	  0,0126	12	  -34,89	12	     0,1	
12,25	  0,0286	12,25	  -132,1	12,25	     0,3	
12,5	  0,0365	12,5	  -176,1	12,5	     0,4	
12,75	  0,0369	12,75	   110,5	12,75	     0,4	
13	   0,014	13	   1,621	13	     0,1	
13,25	  0,0206	13,25	  -99,31	13,25	     0,2	
13,5	  0,0321	13,5	   169,4	13,5	     0,3	
13,75	   0,041	13,75	   114,1	13,75	     0,5	
14	  0,0348	14	   21,08	14	     0,4	
14,25	  0,0133	14,25	  -64,93	14,25	     0,1	
14,5	  0,0175	14,5	   173,5	14,5	     0,1	
14,75	  0,0155	14,75	   99,63	14,75	     0,1	
15	  0,0254	15	   45,86	15	     0,4	
15,25	  0,0155	15,25	  -97,42	15,25	     0,4	
15,5	  0,0142	15,5	  -147,3	15,5	     0,2	
15,75	  0,0144	15,75	   53,36	15,75	     0,3	
16	  0,0065	16	   90,39	16	     0,1	
16,25	  0,0148	16,25	  -110,1	16,25	     0,6	
16,5	 0,00177	16,5	  -145,5	16,5	       0	
16,75	 0,00373	16,75	   88,14	16,75	       0	
17	 0,00719	17	   -66,1	17	     0,4	
17,25	 0,00923	17,25	   99,34	17,25	     0,2	
17,5	 0,00246	17,5	   142,6	17,5	       0	
17,75	  0,0111	17,75	  -54,77	17,75	     0,3	
18	 0,00861	18	  -112,2	18	     0,3	
18,25	  0,0176	18,25	   153,3	18,25	     0,5	
18,5	 0,00633	18,5	     158	18,5	     0,1	
18,75	 0,00867	18,75	  -29,61	18,75	     0,1	
19	  0,0108	19	  -157,3	19	     0,2	
19,25	  0,0193	19,25	   153,9	19,25	     0,5	
19,5	  0,0146	19,5	   86,19	19,5	     0,4	
19,75	 0,00669	19,75	   5,287	19,75	     0,1	
20	 0,00681	20	  -170,3	20	     0,1	
20,25	  0,0131	20,25	   122,7	20,25	     0,2	
20,5	  0,0167	20,5	   95,53	20,5	     0,4	
20,75	  0,0107	20,75	  -15,59	20,75	     0,3	
21	  0,0018	21	   154,8	21	       0	
21,25	   0,016	21,25	   129,3	21,25	     0,4	
21,5	   0,011	21,5	   117,6	21,5	     0,3	
21,75	  0,0018	21,75	  -2,485	21,75	       0	
22	 0,00638	22	   129,3	22	     0,1	
22,25	  0,0133	22,25	   111,7	22,25	     0,3	
22,5	 0,00694	22,5	   92,39	22,5	     0,2	
22,75	 0,00674	22,75	  -173,1	22,75	     0,2	
23	  0,0113	23	   126,8	23	     0,5	
23,25	  0,0155	23,25	   84,91	23,25	     0,3	
23,5	 0,00911	23,5	   80,02	23,5	     0,4	
23,75	  0,0143	23,75	   167,8	23,75	     0,5	
24	  0,0191	24	   95,92	24	     0,6	
24,25	  0,0247	24,25	   66,51	24,25	     0,6	
24,5	 0,00875	24,5	      65	24,5	     0,4	
24,75	  0,0045	24,75	   175,3	24,75	       0	
25	  0,0184	25	   85,35	25	     0,5	
25,25	   0,025	25,25	   48,18	25,25	     0,6	
25,5	  0,0101	25,5	  0,7828	25,5	     0,6	
25,75	 0,00446	25,75	     130	25,75	     0,1	
26	 0,00867	26	      86	26	     0,2	
26,25	  0,0197	26,25	   35,56	26,25	     0,5	
