Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	0,000373	0	       0	0	     0,1	
0,25	0,000302	0,25	  -83,04	0,25	     0,3	
0,5	 9,34E-5	0,5	  -58,81	0,5	     0,2	
0,75	 4,24E-5	0,75	  -72,01	0,75	       0	
1	 6,27E-5	1	  -64,58	1	       0	
1,25	0,000156	1,25	  -57,46	1,25	       0	
1,5	0,000153	1,5	   130,1	1,5	       0	
1,75	 4,03E-5	1,75	   128,8	1,75	       0	
2	 1,12E-5	2	   150,9	2	       0	
2,25	 1,12E-5	2,25	   142,6	2,25	       0	
2,5	 1,01E-5	2,5	     178	2,5	       0	
2,75	  2,1E-5	2,75	     169	2,75	       0	
3	 2,56E-5	3	   144,7	3	       0	
3,25	 1,16E-5	3,25	     111	3,25	       0	
3,5	 5,64E-6	3,5	     132	3,5	       0	
3,75	  2,1E-5	3,75	  -178,5	3,75	       0	
4	  3,5E-5	4	   112,7	4	       0	
4,25	  1,8E-5	4,25	   52,54	4,25	       0	
4,5	 6,09E-6	4,5	  -19,77	4,5	       0	
4,75	 2,55E-6	4,75	   45,91	4,75	  2,4E-5	
5	 1,52E-5	5	  -166,2	5	       0	
5,25	 9,66E-6	5,25	  -12,02	5,25	       0	
5,5	 2,14E-5	5,5	  -145,7	5,5	       0	
5,75	 2,28E-5	5,75	   159,2	5,75	       0	
6	 4,95E-6	6	  -101,5	6	  4,5E-5	
6,25	 1,57E-5	6,25	  -134,9	6,25	       0	
6,5	  6,5E-6	6,5	  -18,17	6,5	       0	
6,75	 1,61E-5	6,75	  -165,2	6,75	       0	
7	  1,2E-5	7	  -149,1	7	       0	
7,25	 1,24E-5	7,25	   179,2	7,25	       0	
7,5	 1,11E-5	7,5	  -113,3	7,5	       0	
7,75	 1,92E-5	7,75	  -126,6	7,75	       0	
8	 1,12E-5	8	   168,9	8	       0	
8,25	 7,23E-6	8,25	  -143,2	8,25	       0	
8,5	 1,05E-5	8,5	  -117,3	8,5	       0	
8,75	 1,33E-5	8,75	   179,2	8,75	       0	
9	  7,8E-6	9	  -144,5	9	       0	
9,25	 1,68E-5	9,25	  -169,6	9,25	       0	
9,5	 1,59E-5	9,5	  -175,8	9,5	       0	
9,75	 7,83E-6	9,75	  -139,2	9,75	       0	
10	  1,6E-5	10	    -170	10	       0	
10,25	 3,07E-5	10,25	  -174,9	10,25	       0	
10,5	  2,6E-5	10,5	   177,4	10,5	       0	
10,75	 1,71E-5	10,75	   169,4	10,75	       0	
11	 3,12E-5	11	  -177,1	11	       0	
11,25	 2,28E-5	11,25	   167,6	11,25	       0	
11,5	 2,06E-5	11,5	     126	11,5	       0	
11,75	 2,41E-5	11,75	   144,5	11,75	       0	
12	 1,46E-5	12	   164,5	12	       0	
12,25	 1,35E-5	12,25	   139,5	12,25	       0	
12,5	 7,19E-6	12,5	   133,2	12,5	       0	
12,75	 2,82E-6	12,75	  -13,58	12,75	  4,7E-5	
13	 1,45E-5	13	  -118,9	13	       0	
13,25	 2,01E-5	13,25	  -147,2	13,25	       0	
13,5	 1,15E-5	13,5	  -116,7	13,5	       0	
13,75	 1,35E-5	13,75	  -155,1	13,75	       0	
14	 1,37E-5	14	  -169,1	14	       0	
14,25	 6,75E-6	14,25	  -133,3	14,25	  6,7E-5	
14,5	 9,71E-6	14,5	  -116,2	14,5	  9,4E-5	
14,75	 2,11E-5	14,75	  -112,9	14,75	       0	
15	 2,35E-5	15	  -130,9	15	       0	
15,25	 3,18E-5	15,25	  -134,8	15,25	       0	
15,5	 4,23E-5	15,5	  -141,9	15,5	       0	
15,75	 4,08E-5	15,75	  -153,3	15,75	       0	
16	 4,03E-5	16	  -156,5	16	       0	
16,25	 5,38E-5	16,25	  -162,8	16,25	       0	
16,5	  6,4E-5	16,5	  -161,8	16,5	       0	
16,75	 5,78E-5	16,75	  -168,6	16,75	       0	
17	 4,46E-5	17	  -164,1	17	       0	
17,25	 6,51E-5	17,25	  -151,5	17,25	       0	
17,5	 9,34E-5	17,5	  -151,2	17,5	       0	
17,75	 9,34E-5	17,75	  -160,9	17,75	       0	
18	 8,61E-5	18	  -168,6	18	       0	
18,25	 9,78E-5	18,25	   175,2	18,25	       0	
18,5	 8,27E-5	18,5	   155,5	18,5	       0	
18,75	 6,49E-5	18,75	   156,5	18,75	       0	
19	 6,38E-5	19	   154,3	19	       0	
19,25	 7,88E-5	19,25	   150,9	19,25	       0	
19,5	 8,15E-5	19,5	   143,5	19,5	       0	
19,75	  8,9E-5	19,75	   137,2	19,75	       0	
20	0,000111	20	   124,6	20	       0	
20,25	 0,00011	20,25	   106,2	20,25	       0	
20,5	0,000111	20,5	   88,51	20,5	       0	
20,75	 9,25E-5	20,75	   72,27	20,75	       0	
21	 7,62E-5	21	   82,74	21	       0	
21,25	 7,63E-5	21,25	   81,35	21,25	       0	
21,5	 6,69E-5	21,5	   102,8	21,5	       0	
21,75	0,000109	21,75	   93,73	21,75	       0	
22	0,000124	22	   67,65	22	       0	
22,25	 8,06E-5	22,25	   53,53	22,25	       0	
22,5	 3,98E-5	22,5	   73,07	22,5	       0	
22,75	 6,12E-5	22,75	   101,5	22,75	       0	
23	 7,72E-5	23	   86,11	23	       0	
23,25	 6,88E-5	23,25	   64,55	23,25	       0	
23,5	 5,52E-5	23,5	   52,82	23,5	       0	
23,75	  3,5E-5	23,75	   64,29	23,75	       0	
24	 2,46E-5	24	    71,2	24	       0	
24,25	 2,67E-5	24,25	   90,31	24,25	       0	
24,5	 4,19E-5	24,5	   102,7	24,5	       0	
24,75	 4,83E-5	24,75	   81,79	24,75	       0	
25	  5,7E-5	25	   60,96	25	       0	
25,25	 5,49E-5	25,25	   42,69	25,25	       0	
25,5	 3,35E-5	25,5	   31,29	25,5	       0	
25,75	  1,5E-5	25,75	   6,126	25,75	       0	
26	 2,63E-5	26	   107,8	26	       0	
26,25	 4,51E-5	26,25	   112,6	26,25	       0	
26,5	 7,67E-5	26,5	   80,14	26,5	       0	
26,75	 8,12E-5	26,75	   57,68	26,75	       0	
27	 7,58E-5	27	   48,16	27	       0	
27,25	 5,56E-5	27,25	   27,91	27,25	       0	
27,5	 3,68E-5	27,5	   3,477	27,5	       0	
27,75	 2,11E-6	27,75	  -132,2	27,75	  7,6E-6	
28	 1,95E-5	28	   155,3	28	       0	
28,25	  4,3E-5	28,25	     137	28,25	       0	
28,5	 7,03E-5	28,5	     119	28,5	       0	
